,ACTIVITY_TYPE,BASE_STATE_PRC_HUNTING,BASE_STATE_PRC_HUNTING_OVER_100_ACRES,STATE,ACREAGE,DURATION_days,DAILY_PRICE_BASE,TOTAL_ANNUAL_PRICE,FINAL_PRICE,final_price_less_20_acres,final_price_20_100_acres,final_price_100_plus_acres
517,HUNTING,10.0,22.0,Maine,754,15,14.467317267067383,5280.570802479595,217.00975900601074,,,429.78000000000003
520,HUNTING,12.0,24.0,North Carolina,734,87,14.908867089194944,5441.736487556154,1297.07143675996,,,638.58
536,HUNTING,20.0,32.0,Minnesota,159,271,8.012435446632407,2924.538938020829,2171.3700060373826,,,172.356
541,HUNTING,10.0,22.0,New Hampshire,282,290,8.847628661568482,3229.384461472496,2565.8123118548597,,,327.12
542,HUNTING,10.0,22.0,Colorado,493,8,11.698381826629115,4269.909366719627,93.58705461303292,,,157.76
543,HUNTING,19.0,31.0,Indiana,802,13,17.711650073341854,6464.7522767697765,230.2514509534441,,,396.188
554,HUNTING,29.0,29.0,Kansas,73,73,4.412001068070761,1610.3803898458277,322.0760779691655,,,53.29
562,HUNTING,21.0,33.0,Michigan,344,149,11.968154403869704,4368.376357412442,1783.255006176586,,,205.02400000000003
572,HUNTING,10.0,22.0,Louisiana,239,199,8.14519119563414,2972.994786406461,1620.893047931194,,,190.24400000000003
581,HUNTING,10.0,22.0,Maine,583,181,12.721449845438732,4643.329193585138,2302.5824220244103,,,422.092
584,HUNTING,10.0,22.0,Montana,258,35,8.462763137263911,3088.9085451013275,296.1967098042369,,,180.6
587,HUNTING,10.0,22.0,Mississippi,802,255,14.920710939400186,5446.059492881068,3804.7812895470474,,,818.0400000000001
628,HUNTING,15.0,27.0,South Carolina,599,358,14.285198698574668,5214.097524979754,5114.101134089731,,,857.7679999999999
639,HUNTING,10.0,22.0,Washington,544,335,12.288582303085393,4485.332540626168,4116.675071533607,,,728.96
640,HUNTING,10.0,22.0,Washington,945,28,16.19639041540651,5911.682501623375,453.4989316313822,,,1005.4799999999999
662,HUNTING,35.0,35.0,Iowa,456,163,14.190818182827485,5179.648636732032,2313.10336380088,,,297.312
664,HUNTING,12.0,24.0,North Carolina,165,24,7.068684291776912,2580.069766498573,169.6484230026459,,,150.48
667,HUNTING,10.0,22.0,Florida,885,64,15.673787989804312,5720.932616278574,1003.122431347476,,,566.4
673,HUNTING,35.0,35.0,Iowa,888,219,19.803023248495332,7228.103485700796,4336.862091420478,,,777.888
678,HUNTING,10.0,22.0,Idaho,581,150,12.699610430457378,4635.357807116943,1904.9415645686067,,,348.59999999999997
683,HUNTING,10.0,22.0,Mississippi,580,156,12.688676626940504,4631.366968833284,1979.4335538027187,,,361.91999999999996
690,HUNTING,10.0,22.0,New Jersey,549,22,12.344926396349297,4505.898134667494,271.58838071968455,,,458.96399999999994
698,HUNTING,10.0,22.0,Connecticut,529,174,12.117978250721901,4423.062061513494,2108.5282156256108,,,368.184
699,HUNTING,13.0,25.0,Oklahoma,361,272,10.67123287671233,3895.0,2902.5753424657537,,,392.768
711,HUNTING,32.0,32.0,Ohio,308,40,11.151706728452057,4070.372955885001,446.06826913808226,,,246.4
715,HUNTING,21.0,33.0,Michigan,699,166,17.060295531377513,6227.007868952793,2832.0090582086673,,,464.136
717,HUNTING,19.0,31.0,New York,856,355,18.29821480473834,6678.848403729494,6495.866255682111,,,1215.52
756,HUNTING,10.0,22.0,Connecticut,476,183,11.49491618682975,4195.6444081928585,2103.569662189844,,,348.432
757,HUNTING,29.0,29.0,Kansas,354,60,11.381293478599538,4154.172119688831,682.8776087159723,,,424.8
766,HUNTING,11.0,23.0,Arkansas,748,199,14.733492596489937,5377.724797718827,2931.965026701497,,,595.408
770,HUNTING,10.0,22.0,Mississippi,746,265,14.390362906037534,5252.4824607037,3813.446170099947,,,790.76
775,HUNTING,10.0,22.0,Rhode Island,580,265,12.688676626940504,4631.366968833284,3362.4993061392333,,,614.8
776,HUNTING,10.0,22.0,Idaho,21,202,2.73972602739726,1000.0,553.4246575342465,,1212.0,16.968
778,HUNTING,29.0,29.0,Missouri,335,270,11.071651183820693,4041.152682094553,2989.345819631587,,,361.8
782,HUNTING,10.0,22.0,Vermont,57,144,2.73972602739726,1000.0,394.52054794520546,,864.0,32.832
786,HUNTING,10.0,22.0,Idaho,847,183,15.333596751621577,5596.762814341876,2806.0482055467487,,,620.004
795,HUNTING,10.0,22.0,Nebraska,337,111,9.672022165006023,3530.2880902271986,1073.5944603156686,,,374.07
806,HUNTING,17.0,29.0,Maryland,359,256,11.4613880169424,4183.406626183976,2934.1153323372546,,,367.616
808,HUNTING,10.0,22.0,Florida,197,344,7.394953470859664,2699.1580168637774,2543.8639939757245,,,271.072
823,HUNTING,10.0,22.0,Delaware,100,130,5.268686195966045,1923.0704615276063,684.9292054755858,,,52.0
832,HUNTING,10.0,22.0,Tennessee,215,57,7.725410448504388,2819.7748137041017,440.34839556475015,,,245.1
846,HUNTING,10.0,22.0,Nevada,899,312,15.797275003675558,5766.005376341579,4928.749801146774,,,1121.952
858,HUNTING,10.0,22.0,New Mexico,204,188,7.525189076188639,2746.694012808853,1414.735546323464,,,153.40800000000002
869,HUNTING,10.0,22.0,New Hampshire,251,223,8.347168748816781,3046.716593318125,1861.4186309861423,,,223.892
876,HUNTING,11.0,23.0,West Virginia,838,307,15.594696232127768,5692.064124726636,4787.571743263225,,,1029.0639999999999
887,HUNTING,10.0,22.0,South Dakota,359,330,9.982735331126019,3643.6983958609967,3294.3026592715864,,,473.88
889,HUNTING,13.0,25.0,Oklahoma,933,234,17.155438310174024,6261.734983213519,4014.3725645807217,,,873.288
893,HUNTING,10.0,22.0,North Dakota,801,219,14.911405849041223,5442.663134900046,3265.597880940028,,,701.676
905,HUNTING,10.0,22.0,Texas,961,82,16.332927207494738,5961.518430735579,1339.3000310145685,,,788.02
910,HUNTING,13.0,25.0,Oklahoma,29,297,2.73972602739726,1000.0,813.6986301369863,,1782.0,34.452000000000005
915,HUNTING,10.0,22.0,Idaho,516,275,11.968154403869704,4368.376357412442,3291.2424610641688,,,567.6
922,HUNTING,11.0,23.0,West Virginia,341,190,9.947915778469508,3630.9892591413704,1890.1039979092066,,,259.16
926,HUNTING,10.0,22.0,Texas,12,73,2.73972602739726,1000.0,200.0,730.0,,8.76
932,HUNTING,10.0,22.0,Louisiana,733,100,14.26442664523737,5206.51572551164,1426.442664523737,,,733.0
955,HUNTING,10.0,22.0,Tennessee,106,241,5.424444440259015,1979.9222206945406,1307.2911101024226,,,102.184
961,HUNTING,10.0,22.0,Washington,973,223,16.43458541226731,5998.623675477568,3664.9125469356104,,,867.9159999999999
969,HUNTING,10.0,22.0,Nevada,217,298,7.761259413425893,2832.859685900451,2312.855305200916,,,258.664
974,HUNTING,17.0,29.0,Maryland,947,99,18.615083160527973,6794.505353592711,1842.8932328922695,,,937.5300000000001
987,HUNTING,10.0,22.0,Texas,330,263,9.571043776107096,3493.43097827909,2517.1845131161663,,,347.16
991,HUNTING,10.0,22.0,North Dakota,497,237,11.745743890059446,4287.196519871698,2783.7413019440887,,,471.156
996,HUNTING,10.0,22.0,Rhode Island,975,221,16.451467373998607,6004.7855915094915,3635.774289653692,,,861.9
1015,HUNTING,10.0,22.0,Tennessee,597,116,12.87328838185613,4698.750259377487,1493.301452295311,,,692.52
1021,HUNTING,10.0,22.0,Maine,177,333,7.009531082024444,2558.478844938922,2334.17385031414,,,235.76399999999998
1041,HUNTING,10.0,22.0,Colorado,331,301,9.585534388153539,3498.7200516760413,2885.245850834215,,,398.524
1057,HUNTING,29.0,29.0,Missouri,900,102,18.147267706234082,6623.75271277544,1851.0213060358765,,,918.0
1069,HUNTING,20.0,32.0,Minnesota,569,176,15.157309359578148,5532.417916246024,2667.686447285754,,,400.576
1071,HUNTING,10.0,22.0,South Dakota,293,71,9.018538068804723,3291.7663951137242,640.3162028851353,,,208.03
1072,HUNTING,15.0,27.0,South Carolina,320,44,10.441138664844104,3811.015612668098,459.41010125314057,,,281.6
1088,HUNTING,10.0,22.0,Rhode Island,618,271,13.097746185930625,4780.677357864678,3549.489216387199,,,669.912
1095,HUNTING,35.0,35.0,Iowa,77,78,4.977996244762842,1816.9686293384375,388.2837070915017,,,60.06
1102,HUNTING,29.0,29.0,Wisconsin,748,94,16.544010237037835,6038.5637365188095,1555.1369622815564,,,703.12
1110,HUNTING,10.0,22.0,Tennessee,736,225,14.293587343431485,5217.159380352492,3216.057152272084,,,662.4
1113,HUNTING,29.0,29.0,Illinois,107,315,6.25722655962108,2283.8876942616944,1971.0263662806403,,,134.82
1125,HUNTING,29.0,29.0,Kentucky,988,110,19.013779953242846,6940.029682933639,2091.515794856713,,,1086.8000000000002
1136,HUNTING,29.0,29.0,Illinois,914,207,18.287868451042677,6675.071984630577,3785.588769365834,,,756.792
1143,HUNTING,10.0,22.0,Alabama,698,215,13.919705404077732,5080.692472488372,2992.7366618767123,,,600.2800000000001
1180,HUNTING,29.0,29.0,Kentucky,936,59,18.506654430495953,6754.928867131023,1091.892611399261,,,1104.48
1190,HUNTING,19.0,31.0,New York,1,42,2.73972602739726,1000.0,115.06849315068493,840.0,,0.84
1212,HUNTING,11.0,23.0,Arkansas,857,74,15.770494861065151,5756.23062428878,1167.0166197188212,,,634.1800000000001
1230,HUNTING,10.0,22.0,Hawaii,985,193,16.53561865129022,6035.50080772093,3191.374399699013,,,760.42
1241,HUNTING,10.0,22.0,Louisiana,739,80,14.322688671169658,5227.781364976925,1145.8150936935726,,,591.2
1264,HUNTING,20.0,32.0,Minnesota,23,302,2.73972602739726,1000.0,827.3972602739725,,1812.0,27.784
1267,HUNTING,21.0,33.0,Michigan,117,46,6.979766484374196,2547.6147667965815,321.069258281213,,,107.63999999999999
1271,HUNTING,10.0,22.0,Utah,311,243,9.291429312014452,3391.3716988852752,2257.817322819512,,,302.292
1273,HUNTING,10.0,22.0,Oregon,967,249,16.383835156007144,5980.099831942608,4079.574953845779,,,963.132
1285,HUNTING,10.0,22.0,Arizona,842,127,15.28827121128356,5580.218992118499,1941.6104438330121,,,427.736
1286,HUNTING,10.0,22.0,North Dakota,564,216,12.51243644803106,4567.039303531337,2702.686272774709,,,487.29600000000005
1290,HUNTING,29.0,29.0,Wisconsin,151,82,7.43324529884048,2713.1345340767753,609.5261145049193,,,123.82000000000001
1294,HUNTING,10.0,22.0,Florida,65,255,2.73972602739726,1000.0,698.6301369863013,,1530.0,66.3
1310,HUNTING,10.0,22.0,Alabama,992,293,16.594270637093587,6056.908782539159,4862.121296668421,,,1162.624
1316,HUNTING,10.0,22.0,Wyoming,942,205,16.170661423124436,5902.291419440419,3314.9855917405093,,,772.44
1322,HUNTING,10.0,22.0,Mississippi,417,104,10.758961666704566,3927.021008347167,1118.9320133372748,,,433.68
1324,HUNTING,21.0,33.0,Michigan,258,358,10.36472575016577,3783.124898810506,3710.5718185593455,,,369.456
1351,HUNTING,32.0,32.0,Ohio,240,84,9.843999937627094,3593.0599772338896,826.8959947606759,,,201.6
1355,HUNTING,10.0,22.0,Rhode Island,736,90,14.293587343431485,5217.159380352492,1286.4228609088336,,,662.4
1366,HUNTING,11.0,23.0,Arkansas,874,27,15.92614357479382,5813.042404799744,430.0058765194331,,,896.7239999999999
1377,HUNTING,10.0,22.0,Utah,470,73,11.422239486560715,4169.117412594661,833.8234825189322,,,343.1
1384,HUNTING,29.0,29.0,Illinois,104,363,6.168884810165318,2251.642955710341,2239.3051860900105,,,151.008
1386,HUNTING,10.0,22.0,Tennessee,154,73,6.538267623507564,2386.4676825802608,477.2935365160522,,,112.42
1387,HUNTING,10.0,22.0,Nevada,358,360,9.968822104391073,3638.6200681027417,3588.7759575807863,,,515.52
1389,HUNTING,10.0,22.0,Maine,720,40,14.137368583553824,5160.139532997146,565.494743342153,,,576.0
1390,HUNTING,10.0,22.0,Arizona,874,68,15.576075692672461,5685.2676278254485,1059.1731471017274,,,594.32
1394,HUNTING,10.0,22.0,Tennessee,299,199,9.110410097925,3325.2996857426247,1812.9716094870748,,,238.004
1398,HUNTING,11.0,23.0,West Virginia,571,139,12.872798297592817,4698.571378621378,1789.3189633654017,,,317.47600000000006
1399,HUNTING,13.0,25.0,Oklahoma,715,268,15.01806630799886,5481.594202419584,4024.841770543694,,,766.48
1409,HUNTING,10.0,22.0,Montana,906,328,15.858657929912042,5788.410144417895,5201.63980101115,,,1188.672
1413,HUNTING,10.0,22.0,Utah,230,167,7.9903582355608584,2916.480755979713,1334.3898253386633,,,153.64000000000001
1415,HUNTING,29.0,29.0,Wisconsin,817,333,17.290239915108515,6310.937569014608,5757.6498917311355,,,1088.2440000000001
1431,HUNTING,10.0,22.0,Arizona,792,173,14.827397260273973,5412.0,2565.139726027397,,,548.0640000000001
1436,HUNTING,29.0,29.0,Kansas,550,83,14.186371741175853,5178.025685529186,1177.4688545175957,,,456.5
1440,HUNTING,10.0,22.0,Alaska,893,325,15.744470594080285,5746.731766839304,5116.952943076093,,,1160.9
1444,HUNTING,10.0,22.0,Arizona,461,276,11.31234900484891,4129.007386769852,3122.2083253382993,,,508.944
1452,HUNTING,16.0,28.0,Pennsylvania,309,217,10.448386939694748,3813.661232988583,2267.2999659137604,,,268.212
1453,HUNTING,10.0,22.0,Massachusetts,970,338,16.409229904116845,5989.3689150026485,5546.319707591494,,,1311.44
1476,HUNTING,10.0,22.0,Oregon,438,324,11.026543317569955,4024.688310913033,3572.6000348926655,,,567.648
1490,HUNTING,10.0,22.0,Alabama,50,64,2.73972602739726,1000.0,175.34246575342465,,960.0,32.0
1491,HUNTING,10.0,22.0,Connecticut,327,43,9.527439705251956,3477.5154924169638,409.6799073258341,,,281.22
1492,HUNTING,10.0,22.0,North Dakota,151,308,6.474269988937776,2363.108545962288,1994.075156592835,,,186.03199999999998
1501,HUNTING,10.0,22.0,Maine,400,97,10.53737239193209,3846.1409230552126,1022.1251220174128,,,388.0
1505,HUNTING,10.0,22.0,Vermont,323,18,9.468988603222044,3456.180840176046,170.4417948579968,,,220.932
1507,HUNTING,10.0,22.0,Nevada,213,114,7.689394352823212,2806.6289387804723,876.5909562218461,,,242.82
1530,HUNTING,10.0,22.0,Montana,631,312,13.234788710106537,4830.697879188886,4129.25407755324,,,787.488
1537,HUNTING,15.0,27.0,Georgia,655,142,14.938036777501834,5452.383423788169,2121.2012224052605,,,372.04
1548,HUNTING,10.0,22.0,South Dakota,88,193,2.8445692827216242,1038.2677881933928,549.0018715652735,,,67.93599999999999
1559,HUNTING,10.0,22.0,New Hampshire,288,254,8.941256969067709,3263.5587937097134,2271.079270143198,,,292.60800000000006
1561,HUNTING,32.0,32.0,Ohio,438,192,13.298511606901883,4853.956736519187,2553.3142285251615,,,336.384
1578,HUNTING,11.0,23.0,West Virginia,964,114,16.726051406308148,6105.008763302474,1906.7698603191288,,,1098.96
1581,HUNTING,11.0,23.0,Arkansas,275,163,8.933492089644679,3260.7246127203075,1456.1592106120827,,,179.3
1583,HUNTING,29.0,29.0,Wisconsin,589,205,14.68072956648412,5358.466291766704,3009.5495611292445,,,482.97999999999996
1595,HUNTING,10.0,22.0,Delaware,477,273,11.506984343630448,4200.049285425113,3141.406725811112,,,520.884
1598,HUNTING,10.0,22.0,South Dakota,557,140,12.434545913293608,4538.609258352167,1740.836427861105,,,311.92
1606,HUNTING,10.0,22.0,Vermont,269,172,8.641287860203757,3154.0700689743717,1486.3015119550462,,,185.072
1615,HUNTING,10.0,22.0,Delaware,432,25,10.95075861665998,3997.0268950808927,273.7689654164995,,,410.40000000000003
1629,HUNTING,10.0,22.0,Idaho,77,150,2.73972602739726,1000.0,410.958904109589,,900.0,46.2
1631,HUNTING,13.0,25.0,Oklahoma,637,29,14.175249535043356,5173.966080290825,411.08223651625735,,,701.9739999999999
1637,HUNTING,10.0,22.0,South Dakota,72,109,2.73972602739726,1000.0,298.63013698630135,,1635.0,78.48
1638,HUNTING,19.0,31.0,New York,697,103,16.511564608168435,6026.721081981478,1700.6911546413487,,,717.91
1639,HUNTING,10.0,22.0,Florida,769,286,14.61051426338993,5332.837706137325,4178.60707932952,,,879.736
1644,HUNTING,10.0,22.0,Wyoming,79,91,2.73972602739726,1000.0,249.31506849315068,,1365.0,71.89
1653,HUNTING,13.0,25.0,Oklahoma,877,254,16.632624895709444,6070.908086933947,4224.686723510199,,,891.032
1663,HUNTING,10.0,22.0,Florida,344,242,9.771957150774723,3566.7643600327738,2364.813630487483,,,332.992
1665,HUNTING,10.0,22.0,Arizona,35,181,2.73972602739726,1000.0,495.89041095890406,,1086.0,25.340000000000003
1666,HUNTING,10.0,22.0,Rhode Island,578,125,12.666780706179253,4623.374957755427,1583.3475882724067,,,289.0
1671,HUNTING,10.0,22.0,Massachusetts,203,135,7.506722326693134,2739.953649242994,1013.407514103573,,,109.62
1673,HUNTING,10.0,22.0,Alabama,489,135,11.650827232104328,4252.55193971808,1572.8616763340842,,,264.06
1678,HUNTING,10.0,22.0,Louisiana,347,355,9.814474931626457,3582.2833500436564,3484.1386007273923,,,492.74000000000007
1683,HUNTING,29.0,29.0,Missouri,870,324,17.842249886949112,6512.421208736426,5780.888963371513,,,1127.52
1691,HUNTING,35.0,35.0,Iowa,444,147,14.002852027005902,5111.040989857154,2058.4192479698677,,,261.072
1698,HUNTING,10.0,22.0,Nevada,869,146,15.531457796107993,5668.982095579418,2267.592838231767,,,507.496
1713,HUNTING,11.0,23.0,West Virginia,486,262,11.876078098437535,4334.7685059297,3111.532461790634,,,509.328
1719,HUNTING,10.0,22.0,Florida,628,196,13.203289763320978,4819.200763612157,2587.8447936109114,,,492.352
1722,HUNTING,10.0,22.0,Alabama,574,143,12.622874921711473,4607.349346424688,1805.0711138047407,,,328.32800000000003
1726,HUNTING,32.0,32.0,Ohio,427,61,13.130459332477825,4792.617656354406,800.9580192811474,,,260.47
1727,HUNTING,10.0,22.0,Nevada,374,166,10.189154176183917,3719.04127430713,1691.3995932465302,,,248.336
1734,HUNTING,35.0,35.0,Iowa,477,322,14.51390258895911,5297.574444970075,4673.476633644834,,,614.3760000000001
1740,HUNTING,10.0,22.0,Maine,990,299,16.577534101683373,6050.799947114431,4956.682696403329,,,1184.04
1755,HUNTING,29.0,29.0,Missouri,300,79,10.47732989525045,3824.2254117664143,827.7090617247856,,,237.0
1783,HUNTING,15.0,27.0,Georgia,311,251,10.293262986104413,3757.040989928111,2583.6090095122076,,,312.24399999999997
1785,HUNTING,12.0,24.0,North Carolina,409,129,11.129054446828148,4062.104873092274,1435.648023640831,,,211.044
1788,HUNTING,10.0,22.0,Connecticut,652,177,13.45321647747451,4910.424014278196,2381.2193165129884,,,461.61600000000004
1790,HUNTING,11.0,23.0,West Virginia,242,296,8.380358417505468,3058.830822389496,2480.5860915816183,,,286.528
1798,HUNTING,10.0,22.0,Alaska,974,174,16.443028559709585,6001.7054242939985,2861.086969389468,,,677.904
1800,HUNTING,15.0,27.0,Georgia,73,169,3.173088897381372,1158.1774475442007,536.2520236574518,,,49.348
1810,HUNTING,11.0,23.0,West Virginia,872,233,15.907911006051938,5806.387517208957,3706.5432644101015,,,812.704
1820,HUNTING,10.0,22.0,New Hampshire,13,308,2.73972602739726,1000.0,843.8356164383562,1848.0,,16.016000000000002
1821,HUNTING,10.0,22.0,Hawaii,172,157,6.90981716677718,2522.083265873671,1084.8412951840173,,,108.016
1822,HUNTING,10.0,22.0,Arizona,263,102,8.544373156002205,3118.6962019408047,871.5260619122249,,,268.26
1840,HUNTING,10.0,22.0,Rhode Island,729,186,14.22545272910832,5192.290246124537,2645.9342076141475,,,542.376
1852,HUNTING,10.0,22.0,Idaho,546,100,12.311150884638478,4493.570072893044,1231.1150884638478,,,546.0
1856,HUNTING,10.0,22.0,Alabama,882,251,15.647199695868487,5711.227888991998,3927.44712366299,,,885.528
1865,HUNTING,10.0,22.0,Tennessee,247,275,8.280390326063195,3022.3424690130664,2277.1073396673787,,,271.7
1891,HUNTING,32.0,32.0,Ohio,135,129,7.382999953220321,2694.794982925417,952.4069939654214,,,69.66000000000001
